rank	action_id	source	family	relation	priority	trigger	history
1	community/lightseekorg/TorchSpec/TorchSpec::maintainers	TorchSpec	project	maintainers	8.975	coverage_gap	new
2	company/Intel/OpenVINO GenAI::maintainers	OpenVINO GenAI	project	maintainers	8.944	coverage_gap	new
3	community/vllm-project/Speculators/Speculators::maintainers	Speculators	project	maintainers	8.933	coverage_gap	new
4	company/Intel/xFasterTransformer::maintainers	xFasterTransformer	project	maintainers	8.708	coverage_gap	new
5	community/LoongServe/LoongServe/LoongServe::originating_org	LoongServe	project	originating_org	8.436	bridge	new
6	community/LLMServe/DistServe/DistServe::originating_org	DistServe	project	originating_org	8.427	coverage_gap	new
7	community/MooreThreads/torch_musa/torch_musa::maintainers	torch_musa	project	maintainers	8.422	coverage_gap	new
8	community/MooreThreads/MATE/MATE::maintainers	MATE	project	maintainers	8.413	bridge	new
9	community/Deep-Spark/lmcache-iluvatar/lmcache-iluvatar::maintainers	lmcache-iluvatar	project	maintainers	8.387	coverage_gap	new
10	community/MetaX-MACA/mcoplib/mcoplib::maintainers	mcoplib	project	maintainers	8.381	coverage_gap	new
11	university/清华大学/Haojie Wang::project_contribution	Haojie Wang	person	project_contribution	8.273	coverage_gap	new
12	community/sgl-project/mini-SGLang/mini-SGLang::originating_org	mini-SGLang	project	originating_org	8.218	coverage_gap	new
13	company/趋境科技/艾智远 Zhiyuan Ai::project_contribution	艾智远	person	project_contribution	8.19	bridge	new
14	university/清华大学/Kang Chen::project_contribution	陈康	person	project_contribution	8.181	bridge	new
15	university/清华大学/Jinlei Jiang::project_contribution	蒋金磊	person	project_contribution	8.15	coverage_gap	new
16	company/面壁智能/ForgeTrain::maintainers	ForgeTrain	project	maintainers	8.146	coverage_gap	new
17	company/面壁智能/MiniCPM::maintainers	MiniCPM	project	maintainers	8.146	coverage_gap	new
18	university/UC Berkeley/Michael Luo::project_contribution	Michael Luo	person	project_contribution	8.127	coverage_gap	new
19	community/interestingLSY/swiftLLM/swiftLLM::originating_org	SwiftLLM	project	originating_org	8.119	coverage_gap	new
20	community/MetaX-MACA/MXDeepEP/MXDeepEP::maintainers	MXDeepEP	project	maintainers	8.049	coverage_gap	new
21	community/cloud-native/Kubernetes/Kubernetes::originating_org	Kubernetes	project	originating_org	8.033	coverage_gap	new
22	community/Ascend/Ascend/Ascend::core_people	Ascend	community	core_people	8.015	coverage_gap	new
23	community/Ascend/TransferQueue/TransferQueue::originating_org	TransferQueue	project	originating_org	8.01	coverage_gap	new
24	community/Ascend/MemCache/Pz1116::affiliation	Pz1116	person	affiliation	7.943	coverage_gap	new
25	community/kvcache-ai/Mooncake/Aionw::affiliation	Aoi	person	affiliation	7.93	coverage_gap	new
26	community/Ascend/MemCache/tyy0829::affiliation	tyy0829	person	affiliation	7.93	coverage_gap	new
27	company/派欧云/李星星::project_contribution	李星星	person	project_contribution	7.92	coverage_gap	new
28	community/LMCache/LMCache/Roy Huang::affiliation	Roy Huang	person	affiliation	7.909	coverage_gap	new
29	community/vllm-project/vLLM-Ascend/yiz-liu::affiliation	yiz-liu	person	affiliation	7.854	coverage_gap	new
30	university/IBM Research/IBM Research::key_people	IBM Research	research	key_people	7.835	coverage_gap	new
31	university/Massachusetts Institute of Technology/HAN Lab::projects	HAN Lab	research	projects	7.832	coverage_gap	new
32	community/Ascend/MemCache/shilinlee::affiliation	shilinlee	person	affiliation	7.829	coverage_gap	new
33	community/vllm-project/vLLM-Ascend/zzzzwwjj::affiliation	zzzzwwjj	person	affiliation	7.82	coverage_gap	new
34	community/Ascend/ops-transformer/tangkaidi::affiliation	tangkaidi	person	affiliation	7.813	coverage_gap	new
35	community/Deep-Spark/iluvatar-corex-ixrt/iluvatar-corex-ixrt::maintainers	iluvatar-corex-ixrt	project	maintainers	7.747	coverage_gap	new
36	community/Ascend/MemCache/nbbb24::affiliation	nbbb24	person	affiliation	7.739	coverage_gap	new
37	community/flagos-ai/FlagOS/赵英利 Yingli Zhao::affiliation	赵英利	person	affiliation	7.685	coverage_gap	new
38	company/清昴智能/清昴智能::projects	清昴智能	company	projects	7.604	bridge	new
39	company/Intel/OpenVINO::maintainers	OpenVINO	project	maintainers	7.594	coverage_gap	new
40	university/清华大学/Weichao Guo::project_contribution	Weichao Guo	person	project_contribution	7.589	bridge	new
41	company/清昴智能/关超宇 Chaoyu Guan::project_contribution	关超宇	person	project_contribution	7.567	coverage_gap	new
42	university/UC Berkeley/Tian Xia::project_contribution	Tian Xia	person	project_contribution	7.517	coverage_gap	new
43	university/清华大学/Shuai Mu::project_contribution	Shuai Mu	person	project_contribution	7.505	bridge	new
44	company/Samsung/Samsung::projects	Samsung	company	projects	7.504	coverage_gap	new
45	company/积算科技/积算科技::projects	积算科技	company	projects	7.497	coverage_gap	new
46	community/deepseek-ai/DeepSeek-Infra/Kuai Yu::affiliation	Kuai Yu	person	affiliation	7.476	coverage_gap	new
47	community/deepseek-ai/DeepSeek-Infra/Liang Zhao::affiliation	Liang Zhao	person	affiliation	7.476	coverage_gap	new
48	community/deepseek-ai/DeepSeek-Infra/Zhean Xu::affiliation	Zhean Xu	person	affiliation	7.476	coverage_gap	new
49	community/flagos-ai/FlagPerf/FlagPerf::maintainers	FlagPerf	project	maintainers	7.475	coverage_gap	new
50	community/flagos-ai/FlagRelease/FlagRelease::maintainers	FlagRelease	project	maintainers	7.455	coverage_gap	new
51	community/flagos-ai/vllm-plugin-FL/vllm-plugin-FL::maintainers	vllm-plugin-FL	project	maintainers	7.427	coverage_gap	new
52	university/上海交通大学/Shengzhong Liu::project_contribution	Shengzhong Liu	person	project_contribution	7.424	coverage_gap	new
53	university/启元实验室/潘泽众 Zezhong Pan::project_contribution	潘泽众	person	project_contribution	7.417	coverage_gap	new
54	company/无问芯穹/无问芯穹::projects	无问芯穹	company	projects	7.405	coverage_gap	new
55	company/积算科技/张宇::project_contribution	张宇	person	project_contribution	7.389	coverage_gap	new
56	company/清程极智/汤雄超 Xiongchao Tang::project_contribution	汤雄超	person	project_contribution	7.352	bridge	new
57	university/University of British Columbia/Systems and Architectures STAR Lab::projects	Systems and Architectures (STAR) Lab	research	projects	7.35	coverage_gap	new
58	community/sgl-project/SGLang/张晓雨::affiliation	张晓雨	person	affiliation	7.325	coverage_gap	new
59	community/LMCache/LMCache/deng451e::affiliation	deng451e	person	affiliation	7.302	coverage_gap	new
60	community/LMCache/LMCache/Zhengfei He::affiliation	Zhengfei He	person	affiliation	7.297	coverage_gap	new
61	community/vllm-project/vLLM-Omni/Canlin Guo::affiliation	Canlin Guo	person	affiliation	7.268	coverage_gap	new
62	community/siliconflow/OneDiff/strint::affiliation	strint	person	affiliation	7.268	coverage_gap	new
63	university/University of Washington/SyFI Lab::projects	SyFI Lab	research	projects	7.259	coverage_gap	new
64	university/南京大学/大模型研究协同创新中心::projects	大模型研究协同创新中心	research	projects	7.259	coverage_gap	new
65	community/Ascend/MemCache/DreamerLeader::affiliation	DreamerLeader	person	affiliation	7.257	coverage_gap	new
66	community/kvcache-ai/Mooncake/Jialei Cui::affiliation	Jialei Cui	person	affiliation	7.257	coverage_gap	new
67	community/LMCache/LMCache/chloroethylene::affiliation	chloroethylene	person	affiliation	7.257	coverage_gap	new
68	community/vllm-project/vLLM-Ascend/ningjingbengxiaohai::affiliation	ningjingbengxiaohai	person	affiliation	7.255	coverage_gap	new
69	company/派欧云/王闻宇 Wayne Wang::project_contribution	王闻宇	person	project_contribution	7.254	coverage_gap	new
70	company/趋境科技/Hongbo Kang::project_contribution	Hongbo Kang	person	project_contribution	7.244	bridge	new
71	community/vllm-project/vLLM-Ascend/Wang Xiyuan::affiliation	Wang Xiyuan	person	affiliation	7.241	coverage_gap	new
72	community/Project-HAMi/ascend-device-plugin/ascend-device-plugin::originating_org	HAMi Ascend Device Plugin	project	originating_org	7.234	coverage_gap	new
73	community/kvcache-ai/Mooncake/Weiran He::affiliation	Weiran He	person	affiliation	7.233	coverage_gap	new
74	community/kvcache-ai/Mooncake/Zheming Li::affiliation	Zheming Li	person	affiliation	7.232	coverage_gap	new
75	university/Georgia Institute of Technology/Systems for Artificial Intelligence Lab::projects	Systems for Artificial Intelligence Lab	research	projects	7.221	coverage_gap	new
76	community/triton-inference-server/Triton-Inference-Server/Faradawn Yang::affiliation	Faradawn Yang	person	affiliation	7.206	coverage_gap	new
77	community/kvcache-ai/Mooncake/Xinran Xu::affiliation	Xinran Xu	person	affiliation	7.196	coverage_gap	new
78	university/Carnegie Mellon University/Carnegie Mellon University::labs_or_groups	Carnegie Mellon University	school	labs_or_groups	7.191	bridge	new
79	community/ModelTC/LightLLM/Hailong Yang::affiliation	Hailong Yang	person	affiliation	7.172	coverage_gap	new
80	community/ModelTC/LightLLM/Ruihao Gong::affiliation	Ruihao Gong	person	affiliation	7.172	coverage_gap	new
81	community/ModelTC/LightLLM/Siyu Wu::affiliation	Siyu Wu	person	affiliation	7.172	coverage_gap	new
82	community/Project-HAMi/HAMi/DSFans2014::affiliation	DSFans2014	person	affiliation	7.167	coverage_gap	new
83	company/月之暗面/checkpoint-engine/HubertZhang::affiliation	HubertZhang	person	affiliation	7.167	coverage_gap	new
84	community/kvcache-ai/KTransformers/谢威宇 Weiyu Xie::project_contribution	谢威宇	person	project_contribution	7.147	bridge	new
85	community/flashinfer-ai/FlashInfer/陈乐群 Lequn Chen::affiliation	陈乐群	person	affiliation	7.138	coverage_gap	new
86	community/gpustack/GPUStack/GPUStack::maintainers	GPUStack	project	maintainers	7.133	coverage_gap	new
87	community/MooreThreads/vllm-musa/vllm-musa::maintainers	vllm-musa	project	maintainers	7.133	coverage_gap	new
88	community/flagos-ai/FlagOS/吕梦思 Mengsi Lyu::affiliation	吕梦思	person	affiliation	7.119	coverage_gap	new
89	university/Seoul National University/Machine Learning Systems Lab::projects	Machine Learning Systems Lab	research	projects	7.11	coverage_gap	new
90	community/kvcache-ai/KTransformers/Ziwei Yuan::project_contribution	Ziwei Yuan	person	project_contribution	7.107	bridge	new
91	community/vllm-project/vLLM/Nick Hill::project_contribution	Nick Hill	person	project_contribution	7.106	bridge	new
92	community/vllm-project/vLLM/Michael Goin::project_contribution	Michael Goin	person	project_contribution	7.104	bridge	new
93	community/Ascend/TransferQueue/荣程浩 Chenghao Rong::affiliation	荣程浩	person	affiliation	7.097	coverage_gap	new
94	community/LMCache/LMCache/Oasis-Git::affiliation	Oasis-Git	person	affiliation	7.089	coverage_gap	new
