rank	action_id	source	family	relation	priority	trigger	history
1	company/xAI/xAI::projects	xAI	company	projects	7.482	weak_evidence	new
2	university/清华大学/Weimin Zheng::project_contribution	Weimin Zheng	person	project_contribution	6.711	weak_evidence	new
3	community/vllm-project/vLLM-Ascend/weijinqian0::affiliation	Jinqian Wei	person	affiliation	6.546	history_followup	partial
4	company/Fireworks AI/Fireworks AI::key_people	Fireworks AI	company	key_people	6.509	weak_evidence	new
5	university/北京邮电大学/北京邮电大学::labs_or_groups	北京邮电大学	school	labs_or_groups	6.157	weak_evidence	new
6	company/道客/道客::projects	道客	company	projects	6.119	weak_evidence	new
7	university/上海交通大学/上海交通大学::labs_or_groups	上海交通大学	school	labs_or_groups	6.099	history_followup	partial
8	university/电子科技大学/电子科技大学::labs_or_groups	电子科技大学	school	labs_or_groups	6.035	weak_evidence	new
9	university/西北工业大学/西北工业大学::labs_or_groups	西北工业大学	school	labs_or_groups	6.035	weak_evidence	new
10	company/商汤科技/商汤科技::projects	商汤科技	company	projects	5.66	weak_evidence	new
11	company/字节跳动/字节跳动::verify_evidence	字节跳动	company	verify_evidence	5.622	weak_evidence	new
12	university/南京大学/南京大学::labs_or_groups	南京大学	school	labs_or_groups	5.574	weak_evidence	new
13	university/Stony Brook University/Stony Brook University::labs_or_groups	Stony Brook University	school	labs_or_groups	5.538	weak_evidence	new
14	company/NVIDIA/NVIDIA::verify_evidence	NVIDIA	company	verify_evidence	5.471	weak_evidence	new
15	university/Binghamton University/Binghamton University::labs_or_groups	Binghamton University	school	labs_or_groups	5.452	weak_evidence	new
16	university/Case Western Reserve University/Case Western Reserve University::labs_or_groups	Case Western Reserve University	school	labs_or_groups	5.452	weak_evidence	new
17	university/Franklin W. Olin College of Engineering/Franklin W. Olin College of Engineering::labs_or_groups	Franklin W. Olin College of Engineering	school	labs_or_groups	5.452	weak_evidence	new
18	university/Lobachevsky State University of Nizhny Novgorod/Lobachevsky State University of Nizhny Novgorod::labs_or_groups	Lobachevsky State University of Nizhny Novgorod	school	labs_or_groups	5.452	weak_evidence	new
19	university/Massachusetts Institute of Technology/Massachusetts Institute of Technology::labs_or_groups	Massachusetts Institute of Technology	school	labs_or_groups	5.452	weak_evidence	new
20	university/Nanyang Technological University/Nanyang Technological University::labs_or_groups	Nanyang Technological University	school	labs_or_groups	5.452	weak_evidence	new
21	university/Seoul National University/Seoul National University::labs_or_groups	Seoul National University	school	labs_or_groups	5.452	weak_evidence	new
22	university/Technion - Israel Institute of Technology/Technion - Israel Institute of Technology::labs_or_groups	Technion - Israel Institute of Technology	school	labs_or_groups	5.452	weak_evidence	new
23	university/UC Davis/UC Davis::labs_or_groups	UC Davis	school	labs_or_groups	5.452	weak_evidence	new
24	university/University of British Columbia/University of British Columbia::labs_or_groups	University of British Columbia	school	labs_or_groups	5.452	weak_evidence	new
25	university/华中科技大学/华中科技大学::labs_or_groups	华中科技大学	school	labs_or_groups	5.452	weak_evidence	new
26	university/江南大学/江南大学::labs_or_groups	江南大学	school	labs_or_groups	5.452	weak_evidence	new
27	university/Georgia Institute of Technology/Georgia Institute of Technology::labs_or_groups	Georgia Institute of Technology	school	labs_or_groups	5.421	weak_evidence	new
28	university/University of Washington/University of Washington::labs_or_groups	University of Washington	school	labs_or_groups	5.421	weak_evidence	new
29	university/厦门大学/厦门大学::labs_or_groups	厦门大学	school	labs_or_groups	5.421	weak_evidence	new
30	company/RadixArk/RadixArk::projects	RadixArk	company	projects	5.41	weak_evidence	new
31	company/AMD/AMD::verify_evidence	AMD	company	verify_evidence	5.391	weak_evidence	new
32	company/趋境科技/Weiyu Xie::project_contribution	Weiyu Xie	person	project_contribution	5.247	weak_evidence	new
33	company/阿里巴巴/阿里巴巴::verify_evidence	阿里巴巴	company	verify_evidence	5.174	weak_evidence	new
34	university/清华大学/Yongwei Wu::project_contribution	Yongwei Wu	person	project_contribution	5.068	weak_evidence	new
35	company/Meta/Meta::projects	Meta	company	projects	4.93	weak_evidence	new
36	company/HPE/HPE::projects	HPE	company	projects	4.855	weak_evidence	new
37	community/flashinfer-ai/FlashInfer/FlashInfer::verify_evidence	FlashInfer	project	verify_evidence	4.514	weak_evidence	new
38	community/ai-dynamo/NIXL/NIXL::verify_evidence	NIXL	project	verify_evidence	4.51	weak_evidence	new
39	company/Hugging Face/Hugging Face::verify_evidence	Hugging Face	company	verify_evidence	4.391	weak_evidence	new
40	community/Project-HAMi/HAMi/HAMi::verify_evidence	HAMi	project	verify_evidence	4.379	weak_evidence	new
41	community/ModelTC/LightLLM/LightLLM::verify_evidence	LightLLM	project	verify_evidence	4.352	weak_evidence	new
42	community/NVIDIA/TensorRT-LLM/TensorRT-LLM::verify_evidence	TensorRT-LLM	project	verify_evidence	4.343	weak_evidence	new
43	company/Amazon/Amazon::verify_evidence	Amazon / AWS	company	verify_evidence	4.245	weak_evidence	new
44	community/Ascend/MindIE-Motor/MindIE-Motor::verify_evidence	MindIE-Motor	project	verify_evidence	4.219	weak_evidence	new
45	community/Ascend/ops-transformer/ops-transformer::verify_evidence	ops-transformer	project	verify_evidence	4.219	weak_evidence	new
46	community/deepseek-ai/DeepSeek-Infra/DeepGEMM::verify_evidence	DeepGEMM	project	verify_evidence	4.143	weak_evidence	new
